arXiv: Computer Vision and Pattern Recognition,Dimitris Samaras
american control conference,Vamsi Kalyan Putta
american control conference,Guangwei Zhu
american control conference,Donghun Kim
american control conference,Jianghai Hu
american control conference,James E. Braun
Mathematics in Computer Science,J. M. Escobar
Mathematics in Computer Science,Juan Núñez
Mathematics in Computer Science,P. Pérez-Fernández
international symposium on chinese spoken language processing,Wei Li
international symposium on chinese spoken language processing,Ji Wu
international symposium on chinese spoken language processing,Ping Lv
Computers & Graphics,Jan Bender
Computers & Graphics,Daniel Weber
Computers & Graphics,Raphael Diziol
international conference on computer communications and networks,Kaliappa Ravindran
information security,Christoph Bier
information security,Jonas Prior
Remote Sensing,Geert Verhoeven
Remote Sensing,Frank Vermeulen
distributed computing in sensor systems,Niki Trigoni
distributed computing in sensor systems,Yong Yao
distributed computing in sensor systems,Alan J. Demers
distributed computing in sensor systems,Johannes Gehrke
distributed computing in sensor systems,Rajmohan Rajaraman
new security paradigms workshop,Robert E. Filman
new security paradigms workshop,Ted Linden
arXiv: Information Theory,Yahya H. Ezzeldin
arXiv: Information Theory,Martina Cardone
arXiv: Information Theory,Christina Fragouli
arXiv: Information Theory,Daniela Tuninetti
Journal of Medical Systems,Sana Ullah
Journal of Medical Systems,Min Chen
Journal of Medical Systems,Kyung Sup Kwak
Computational Linguistics,Gemma Boleda
Computational Linguistics,Sabine Schulte im Walde
Computational Linguistics,Toni Badia
Microelectronics Reliability,Wang Ying
Microelectronics Reliability,Ji Fengli
Microelectronics Reliability,Gao Song-song
International Journal of Web Based Communities,Adriana Santarosa Vivacqua
International Journal of Web Based Communities,A Jose Rodrigues Nt
International Journal of Web Based Communities,Michele Machado
International Journal of Web Based Communities,Rodrigo Padula
International Journal of Web Based Communities,Melissa Paes
International Journal of Web Based Communities,Patrícia Malafronte e Rui Toledo Barros
International Journal of Web Based Communities,Geraldo Xexéo
International Journal of Web Based Communities,Jano Moreira de Souza
International Journal of Web Based Communities,Mutaleci Miranda
NeuroImage,Andreas Hahn
NeuroImage,P. Stein
NeuroImage,Christian Windischberger
NeuroImage,A. Weissenbacher
NeuroImage,Christoph Spindelegger
NeuroImage,Ewald Moser
NeuroImage,Siegfried Kasper
NeuroImage,Rupert Lanzenberger
Optimization Letters,Sel Ozcan
Optimization Letters,Deniz Türsel Eliiyi
Optimization Letters,Levent Kandiller
International Journal of Swarm Intelligence Research,Daniel Hein
International Journal of Swarm Intelligence Research,Alexander Hentschel
International Journal of Swarm Intelligence Research,Thomas A. Runkler
International Journal of Swarm Intelligence Research,Steffen Udluft
hawaii international conference on system sciences,Lisa Mei-ling Chuang
hawaii international conference on system sciences,Daniel D. Suthers
international conference of the ieee engineering in medicine and biology society,Pouya Amiri
international conference of the ieee engineering in medicine and biology society,Luke J. MacLean
international conference of the ieee engineering in medicine and biology society,Robert E. Kearney
Journal of Symbolic Computation,Martin Aigner
Journal of Symbolic Computation,Bert Jüttler
Journal of Symbolic Computation,Laureano Gonzalez-Vega
Journal of Symbolic Computation,Josef Schicho
International Journal of Online Engineering,Unai Hernandez-Jayo
International Journal of Online Engineering,Javier Garcia-Zubia
International Journal of Online Engineering,Ignacio Angulo
International Journal of Online Engineering,Diego López-de-Ipiña
International Journal of Online Engineering,Pablo Orduña
International Journal of Online Engineering,Jaime Irurzun
International Journal of Online Engineering,Olga Dziabenko
international conference on computer communications,Fabrice Guillemin
international conference on computer communications,Pierre Boyer
international conference on computer communications,Alain Dupuis
international conference on computer communications,Luc Romoeuf
workshop on functional and constraint logic programming,Elvira Albert
workshop on functional and constraint logic programming,Michael Hanus
workshop on functional and constraint logic programming,Germán Vidal
pacific rim conference on multimedia,Jaehong Song
pacific rim conference on multimedia,Sangik Na
pacific rim conference on multimedia,Hong-Gab Kim
pacific rim conference on multimedia,Hyongsuk Kim
pacific rim conference on multimedia,Chun-Shin Lin
intelligent information hiding and multimedia signal processing,Yu-e Wang
intelligent information hiding and multimedia signal processing,Tianqi Zhang
intelligent information hiding and multimedia signal processing,Juan Bai
intelligent information hiding and multimedia signal processing,Rui Bao
IEEE Transactions on Biomedical Engineering,Ernesto Pereda
IEEE Transactions on Biomedical Engineering,A. Gamundí
IEEE Transactions on Biomedical Engineering,Nicolau Mc
IEEE Transactions on Biomedical Engineering,L. De Vera
IEEE Transactions on Biomedical Engineering,J.J. Gonzalez
computational aspects of social networks,Pavla Drázdilová
computational aspects of social networks,Katerina Slaninová
computational aspects of social networks,Jan Martinovic
computational aspects of social networks,Gamila Obadi
computational aspects of social networks,Vaclav Snasel
conference on object-oriented programming systems, languages, and applications,Igor Pechtchanski
conference on object-oriented programming systems, languages, and applications,Vivek Sarkar
Scientometrics,László Á. Kóczy
Scientometrics,Martin Strobel
international conference on agents and artificial intelligence,Bjørn Zenker
international conference on agents and artificial intelligence,Bernd Ludwig
human factors in computing systems,Jonathan Klein
human factors in computing systems,Youngme Moon
human factors in computing systems,Rosalind W. Picard
International Journal of Pattern Recognition and Artificial Intelligence,Rémy Malgouyres
SIAM Journal on Computing,Zvi Galil
Lecture Notes in Computer Science,Seung Jei Yang
Lecture Notes in Computer Science,Sung Han Park
Theoretical Computer Science,Robert Crowston
Theoretical Computer Science,Gregory Gutin
Theoretical Computer Science,Mark Jones
Theoretical Computer Science,Gabriele Muciaccia
Discrete Mathematics,Jørgen Bang-Jensen
Discrete Mathematics,Gregory Gutin
modeling analysis and simulation of wireless and mobile systems,Marco Di Felice
modeling analysis and simulation of wireless and mobile systems,Kaushik R. Chowdhury
modeling analysis and simulation of wireless and mobile systems,Luciano Bononi
intelligent robots and systems,Shuguo Wang
intelligent robots and systems,Yili Fu
intelligent robots and systems,Kun Xing
intelligent robots and systems,Xianwei Han
international conference on conceptual modeling,Eladio Domínguez
international conference on conceptual modeling,Jorge López Lloret
international conference on conceptual modeling,Angel Luis Rubio
international conference on conceptual modeling,María Antonia Zapata
Signal Processing,Dimitrios Katselis
Signal Processing,Cristian R. Rojas
Signal Processing,Mats Bengtsson
Signal Processing,Håkan Hjalmarsson
international conference on pattern recognition,Yusuke Fujita
international conference on pattern recognition,Yoshihiro Mitani
international conference on pattern recognition,Yoshihiko Hamamoto
international conference on communications,Jaya Rao
international conference on communications,Abraham O. Fapojuwo
Neural Computation,Stephen José Hanson
Neural Computation,Yaroslav O. Halchenko
Pattern Recognition,Edward R. Dougherty
Pattern Recognition,Marcel Brun
asia and south pacific design automation conference,Taemin Kim
asia and south pacific design automation conference,Xun Liu
IEEE Transactions on Control Systems and Technology,Joakim Haugen
IEEE Transactions on Control Systems and Technology,Lars Imsland
conference of the international speech communication association,Nikolaos Malandrakis
conference of the international speech communication association,Shrikanth Narayanan
systems, man and cybernetics,Andrew Rebeiro-Hargrave
systems, man and cybernetics,Hiroshi Nakajima
systems, man and cybernetics,Ashir Ahmed
systems, man and cybernetics,Keiichi Obayashi
systems, man and cybernetics,Naoki Nakashima
systems, man and cybernetics,Mitsuo Kuwabara
systems, man and cybernetics,Islam Rafiqul
systems, man and cybernetics,Toshikazu Shiga
Advances in Adaptive Data Analysis,Minjeong Park
Advances in Adaptive Data Analysis,Donghoh Kim
Advances in Adaptive Data Analysis,Hee-Seok Oh
personal, indoor and mobile radio communications,Doppo Sugimura
personal, indoor and mobile radio communications,M. Arai
personal, indoor and mobile radio communications,Kei Sakaguchi
personal, indoor and mobile radio communications,Kiyomichi Araki
personal, indoor and mobile radio communications,Takayuki Sotoyama
intelligent robots and systems,Yinoussa Adagolodjo
intelligent robots and systems,Laurent Goffin
intelligent robots and systems,Michel de Mathelin
intelligent robots and systems,Hadrien Courtecuisse
international conference on human-computer interaction,Fernando Garcia-Sanjuan
international conference on human-computer interaction,Alejandro Catala
international conference on human-computer interaction,Geraldine Fitzpatrick
international conference on human-computer interaction,Javier Jaen
european conference on technology enhanced learning,Jeremy Roschelle
european conference on technology enhanced learning,Shuchi Grover
european conference on technology enhanced learning,Marianne Bakia
Technometrics,José G. Ramírez
software engineering and knowledge engineering,Kai-Hsiung Chang
software engineering and knowledge engineering,James H. Cross
software engineering and knowledge engineering,W. Homer Carlisle
software engineering and knowledge engineering,David B. Brown
international conference on advanced learning technologies,Ratchakoon Pruengkarn
international conference on advanced learning technologies,Prasong Praneetpolgrang
international conference on advanced learning technologies,Anongnart Srivihok
intelligent robots and systems,Mamoru Minami
intelligent robots and systems,Hisao Tomikawa
intelligent robots and systems,Naofumi Fujiwara
intelligent robots and systems,Katsuhiro Kanbara
Pattern Analysis and Applications,Xiaoyi Jiang
Pattern Analysis and Applications,Michael Binkert
Pattern Analysis and Applications,Bruno Achermann
Pattern Analysis and Applications,Horst Bunke
IEEE Transactions on Systems Science and Cybernetics,James E. Bruno
intelligent systems design and applications,Qiang Guan
intelligent systems design and applications,Yu Liu
intelligent systems design and applications,Yiping Yang
intelligent systems design and applications,Wenshneg Yu
IEEE Transactions on Systems, Man, and Cybernetics,Haibo Zhou
IEEE Transactions on Systems, Man, and Cybernetics,Hao Ying
IEEE Transactions on Knowledge and Data Engineering,Huey-Ru Wu
IEEE Transactions on Knowledge and Data Engineering,Mi-Yen Yeh
IEEE Transactions on Knowledge and Data Engineering,Ming-Syan Chen
international conference on computers in education,Shu Ching Yang
international conference on computers in education,Chia-Chieh Huang
Journal of Optimization Theory and Applications,Eugenio Mijangos
IEEE Transactions on Information Theory,Robert A. Scholtz
IEEE Transactions on Information Theory,Lloyd R. Welch
decision support systems,Kazuo Watabe
decision support systems,Clyde W. Holsapple
decision support systems,Andrew B. Whinston
IEEE Transactions on Communications,Shi Hao
IEEE Transactions on Communications,Yan Puqiang
IEICE Transactions on Communications,Jaehyun Park
IEICE Transactions on Communications,Yunju Park
IEICE Transactions on Communications,Sung-hyun Hwang
IEICE Transactions on Communications,Byung Jang Jeong
foundations of computational intelligence,Zong Woo Geem
technical symposium on computer science education,Henry M. Walker
Theoretical Informatics and Applications,Florent de Dinechin
Theoretical Informatics and Applications,Christoph Quirin Lauter
Theoretical Informatics and Applications,Jean-Michel Muller
IEEE Transactions on Vehicular Technology,Meysam Sadeghi
IEEE Transactions on Vehicular Technology,Luca Sanguinetti
IEEE Transactions on Vehicular Technology,Romain Couillet
IEEE Transactions on Vehicular Technology,Chau Yuen
international symposium on computers and communications,Adrian Lahanas
international symposium on computers and communications,Vassilios Tsaoussidis
ubiquitous computing,Seifemichael B. Amsalu
ubiquitous computing,Wondimu K. Zegeye
ubiquitous computing,Dereje Hailemariam
ubiquitous computing,Yacob Astatke
ubiquitous computing,Farzad Moazzami
Information Security Journal: A Global Perspective,Gerardo Canfora
Information Security Journal: A Global Perspective,Francesco Mercaldo
Information Security Journal: A Global Perspective,Corrado Aaron Visaggio
Information Security Journal: A Global Perspective,Paolo di Notte
robotics and biomimetics,Akihito Seki
robotics and biomimetics,Changqin Quan
robotics and biomimetics,Zhiwei Luo
NeuroImage,Lidia Glodzik
NeuroImage,Amy Kuceyeski
NeuroImage,Henry Rusinek
NeuroImage,Wai Tsui
NeuroImage,Lisa Mosconi
NeuroImage,Yan Li
NeuroImage,Ricardo S. Osorio
NeuroImage,Schantel Williams
NeuroImage,Catherine Randall
NeuroImage,Nicole Spector
NeuroImage,Pauline McHugh
NeuroImage,John Murray
NeuroImage,Elizabeth Pirraglia
NeuroImage,Shankar Vallabhajosula
NeuroImage,Ashish Raj
NeuroImage,M. J. de Leon
arXiv: Software Engineering,Amit K. Chopra
Synthese,Peter W. Ross
global communications conference,Yanbing Zhan
global communications conference,Huaiyu Dai
annual software engineering workshop,David P. Gilliam
annual software engineering workshop,John D. Powell
annual software engineering workshop,Eric Haugh
annual software engineering workshop,Matt Bishop
Microelectronics Journal,Sameh Ebrahim Rehan
Journal of Information Science,Reijo Savolainen
International Journal on Artificial Intelligence Tools,Ourania Hatzi
International Journal on Artificial Intelligence Tools,Mara Nikolaidou
International Journal on Artificial Intelligence Tools,Dimitris Vrakas
International Journal on Artificial Intelligence Tools,Nick Bassiliades
International Journal on Artificial Intelligence Tools,Dimosthenis Anagnostopoulos
International Journal on Artificial Intelligence Tools,Ioannis P. Vlahavas
Environmental Modelling and Software,L. Forni
Environmental Modelling and Software,S. Galaitsi
Environmental Modelling and Software,Vishal K. Mehta
Environmental Modelling and Software,Marisa Escobar
Environmental Modelling and Software,David R. Purkey
Environmental Modelling and Software,N. Depsky
Environmental Modelling and Software,Nilo A. Lima
Management Science,Robert Seamans
Information & Management,Magrid Igbaria
Information & Management,Moshe Zviran
Journal of Computational Physics,Michael Dumbser
Journal of Computational Physics,Dinshaw S. Balsara
Applied Mathematics and Computation,Tamer Basar
Applied Mathematics and Computation,Alain Bensoussan
Applied Mathematics and Computation,Suresh P. Sethi
Advanced Robotics,Hiroyasu Funakubo
Advanced Robotics,Tsuneshi Isomura
Advanced Robotics,Takashi Komeda
Advanced Robotics,Yukio Inuzuka
Journal of Intelligent and Fuzzy Systems,Dejian Yu
wireless communications and networking conference,Philippe Leroux
wireless communications and networking conference,Aaron Callard
wireless communications and networking conference,Ngoc-Dung Dao
